ESG指標,指標描述,頁碼
"A1 排放物
一般披露","有關廢氣及溫室氣體排放、向水及土地的排污、有害及無害廢棄物的產生等
的政策及遵守對發行人有重大影響的相關法律及規例的資料。",98-103
A1.1,排放物種類及相關排放數據。,111
A1.2,"直接（範圍1）及能源間接（範圍2）溫室氣體排放量（以噸計算）及（如適用）密度
（如以每產量單位、每項設施計算）。",111
A1.3,"所產生有害廢棄物總量（以噸計算）及（如適用）密度（如以每產量單位、每項
設施計算）。",111
A1.4,"所產生無害廢棄物總量（以噸計算）及（如適用）密度（如以每產量單位、每項
設施計算）。",111
A1.5,描述所訂立的排放量目標及為達到這些目標所採取的步驟。,98-103
A1.6,"描述處理有害及無害廢棄物的方法，及描述所訂立的減廢目標及為達到這些
目標所採取的步驟。",98-103
"A2 資源使用
一般披露",有效使用資源（包括能源、水及其他原材料）的政策。,98-103
A2.1,"按類型劃分的直接及╱或間接能源（如電、氣或油）總耗量（以千個千瓦時計
算）及密度（如以每產量單位、每項設施計算）。",111
A2.2,總耗水量及密度（如以每產量單位、每項設施計算）。,111
A2.3,描述所訂立的能源使用效益目標及為達到這些目標所採取的步驟。,98-103
A2.4,"描述求取適用水源上可有任何問題，以及所訂立的用水效益目標及為達到這
些目標所採取的步驟。",98-103
