ESG指標,指標描述,頁碼
A2.5,製成品所用包裝材料的總量（以噸計算）及（如適用）每生產單位佔量。,"不適用。雲康為非
生產型企業，不涉
及製成品包裝材料
的使用"
"A3 環境及
天然資源
一般披露",減低發行人對環境及天然資源造成重大影響的政策。,98-103
A3.1,描述業務活動對環境及天然資源的重大影響及已採取管理有關影響的行動。,98-103
"A4 氣候變化
一般披露",識別及應對已經及可能會對發行人產生影響的重大氣候相關事宜的政策。,94-98
A4.1,描述已經及可能會對發行人產生影響的重大氣候相關事宜，及應對行動。,94-98
"B1 僱傭
一般披露","有關薪酬及解僱、招聘及晉升、工作時數、假期、平等機會、多元化、反歧
視以及其他待遇及福利的政策及遵守對發行人有重大影響的相關法律及規例
的資料。","75, 89-92"
B1.1,按性別、僱傭類型（如全職或兼職）、年齡組別及地區劃分的僱員總數。,113
B1.2,按性別、年齡組別及地區劃分的僱員流失比率。,114
"B2 健康與安全
一般披露","有關提供安全工作環境以及保障僱員避免職業性危害的政策及遵守對發行人
有重大影響的相關法律及規例的資料。",77-80
B2.1,過去三年（包括匯報年度）每年因工亡故的人數及比率。,77
B2.2,因工傷損失工作日數。,115
