ESG指標,指標描述,頁碼
"B6 產品責任
一般披露","有關所提供產品和服務的健康與安全、廣告、標策及私隱事宜以及補救方法
的政策及遵守對發行人有重大影響的相關法律及規例的資料。",47-68
B6.1,已售或已運送產品總數中因安全與健康理由而須回收的百分比。,"不適用。雲康為非
生產型企業，不涉
及須回收的產品"
B6.2,接獲關於產品及服務的投訴數目以及應對方法。,58-61
B6.3,描述與維護及保障知識產權有關的慣例。,68
B6.4,描述質量檢定過程及產品回收程序。,47-53
B6.5,描述消費者資料保障及私隱政策，以及相關執行及監察方法。,62-64
"B7 反貪污
一般披露","有關防止賄賂、勒索、欺詐及洗黑錢的政策及遵守對發行人有重大影響的相
關法律及規例的資料。",36-37
B7.1,"於匯報期內對發行人或其催員提出並已審結的貪污訴認案件的數目及訴訟結
果。",36-37
B7.2,描述防範措施及舉報程序，以及相關執行及監察方法。,36-37
B7.3,描述向董事及員工提供的反貪污培訓。,36-37
"B8 社區投資
一般披露","有關以社區參與來了解營運所在社區需要和確保其業務活動會考慮社區利益
的政策。",105-110
B8.1,專注貢獻範疇（如教育、環境事宜、勞工需求、健康、文化、體育）。,105-110
B8.2,在專注範疇所動用資源（如金錢或時間）。,105-110
