,基建,,,電訊,,,總額,,
,20212,20222,2023,2021,2022,2023,2021,2022,2023
,,,,,,,,,
,"9,012,393","8,587,495","8,210,274","511,675","539,470","530,833","10,883,514","10,420,149","9,975,891"
,"8,308,058","8,038,737","7,655,236","573,503","498,566","379,103","10,161,532","9,725,293","9,112,506"
,"7,488,261","7,327,908","7,038,127","16,867","16,482","16,322","8,055,033","7,872,222","7,534,374"
,"1,524,132","1,259,587","1,172,147","494,808","522,988","514,511","2,828,481","2,547,927","2,441,517"
,"819,797","710,829","617,109","556,636","482,084","362,781","2,106,499","1,853,071","1,578,132"
,0.174,0.173,0.164,0.005,0.006,0.006,0.034,0.035,0.032
,0.160,0.162,0.153,0.006,0.006,0.004,0.032,0.032,0.029
,0.145,0.148,0.141,0.000,0.000,0.000,0.026,0.026,0.024
,0.029,0.025,0.023,0.005,0.006,0.006,0.009,0.008,0.008
,0.016,0.014,0.012,0.006,0.006,0.004,0.007,0.006,0.005
,,"776,370","1,355,741",,"1,799,509","1,624,868",,"12,747,254","4,405,058"
,,,,,,,,,
,"20,688,067","20,516,802","19,825,437","1,688,323","1,769,348","1,607,543","26,018,756","25,906,787","24,837,548"
,"19,339,148","19,286,416","18,663,230","48,629","53,926","50,980","21,424,988","21,359,371","20,552,060"
,"36,572","42,962","46,559","2,703","5,423","5,635","49,983","58,449","60,523"
,"437,574","408,137","414,209","37,582","40,151","37,908","2,320,226","2,249,293","2,083,708"
,"9,705,167","9,667,806","10,483,9566","7,484","7,718","6,567","9,869,894","9,795,146","10,599,565"
,0,0,0,0,0,0,"13,285","19,898","16,357"
,"1,188","1,030","1,021",13,3,0,"10,939","10,633","10,287"
,"12,285,228","11,845,714","11,128,9807",0,0,0,"12,285,228","11,902,526","11,188,644"
,0,0,0,0,0,0,0,0,0
,857,"5,168","5,568",0,0,0,857,"5,168","5,568"
,689,"1,331","2,586",847,631,870,"2,703","3,990","7,057"
