,基建,,,電訊,,,總額,,
,2021,2022,2023,2021,2022,2023,2021,2022,2023
,,,,,,,,,
,"32,726","33,761","35,745","18,817","18,145","18,318","199,909","198,595","204,160"
,"30,552","31,709","33,282","15,548","14,921","15,218","139,527","138,358","138,980"
,"2,174","2,052","2,463","3,269","3,224","3,100","60,382","60,237","65,180"
,,,,,,,,,
,"23,041","23,755","24,855","9,977","9,403","9,505","67,133","67,673","67,741"
,"7,511","7,954","8,427","5,571","5,518","5,713","72,394","70,685","71,239"
,"3,145","3,346","4,014","1,419","1,163","2,091","8,096","8,216","9,868"
,"27,407","28,363","29,268","14,129","13,758","13,127","131,431","130,142","129,112"
,"4,433","4,734","4,977","2,538","2,584","2,562","36,837","35,447","35,520"
,"16,107","16,729","17,802","9,680","8,714","8,482","79,007","78,018","77,667"
,"10,012","10,246","10,503","3,330","3,623","4,174","23,683","24,893","25,793"
,"2,575","2,592","2,571",902,994,"1,085","12,682","12,669","12,265"
,"1,689","1,659","1,649",100,100,96,"30,640","26,823","24,981"
,"17,125","17,636","18,838","12,721","12,976","13,254","51,962","52,535","53,891"
,"2,395","2,646","2,634",0,0,0,"2,395","2,646","2,634"
,"6,768","7,176","7,590","1,825",851,783,"41,848","43,685","45,209"
,,,,,,,,,
,11%,13%,9%,16%,16%,16%,22%,25%,22%
,11%,13%,9%,16%,16%,16%,15%,17%,15%
,12%,15%,8%,16%,16%,17%,28%,33%,29%
,18%,20%,13%,40%,39%,43%,43%,52%,47%
,10%,12%,8%,12%,12%,13%,15%,17%,15%
,10%,12%,9%,9%,8%,6%,11%,12%,11%
,8%,10%,15%,41%,44%,33%,21%,22%,22%
,5%,4%,4%,10%,14%,17%,26%,25%,20%
,8%,11%,4%,14%,14%,14%,21%,22%,17%
,38%,32%,33%,0%,0%,0%,37%,32%,33%
,13%,16%,12%,12%,17%,35%,20%,29%,29%
,,,,,,,,,
,2,1,2,0,0,0,7,31,72
,2,0,1,0,0,0,4,2,2
,0,1,1,0,0,0,3,1,5
,0.007%,0.000%,0.003%,0.000%,0.000%,0.000%,0.003%,0.001%,0.001%
,,,,,,,,,
,"3,469","3,204","3,893",605,528,239,"34,219","32,840","27,2613"
,161,175,168,26,100,13,"1,107","1,185","1,094"
