,基建,,,電訊,,,總額,,
,20212,20222,2023,2021,2022,2023,2021,2022,2023
,799,571,848,0,0,0,799,571,848
,"4,592,585","4,784,989","4,084,719",0,0,0,"4,592,585","4,784,989","4,084,719"
,"74,177","69,514","60,936",0,0,0,"74,177","69,514","60,936"
,"76,887","73,712","83,662",0,0,0,"76,887","73,712","83,662"
,"7,872,575","7,614,518","7,649,814",0,0,0,"7,872,575","7,614,518","7,649,814"
,"1,348,919","1,230,386","1,162,207","1,639,694","1,715,422","1,556,563","4,593,768","4,547,416","4,285,488"
,"1,348,328","1,229,754","1,161,511","1,637,839","1,713,202","1,550,212","4,590,219","4,543,606","4,277,514"
,591,632,696,"1,855","2,220","5,965","3,549","3,810","7,588"
,0,0,0,0,0,386,0,0,386
,0,0,0,0,0,0,0,0,0
,"212,006","172,598","174,024","516,042","676,816","762,162","939,362","1,121,951","1,357,411"
,16%,14%,15%,32%,40%,49%,20%,25%,32%
,399.494,413.748,396.700,18.108,21.083,18.577,82.436,85.845,79.881
,373.446,388.936,373.444,0.522,0.643,0.589,67.882,70.777,66.098
,26.048,24.812,23.255,17.587,20.440,17.988,14.555,15.068,13.783
,,,,,,,,,
,,,,,,,,,
,"9,057","8,053","8,199",38,41,38,"13,332","13,526","12,911"
,835,868,875,0,0,0,"6,642","9,564","8,023"
,282,293,256,1,1,1,512,546,484
,,,,,,,,,
,"26,915","27,265","23,971",913,"1,285",356,"32,060","32,760","29,507"
,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,"443,707","413,644","407,886","3,374","2,418","2,579","623,419","594,670","592,988"
,0.009,0.008,0.008,0.000,0.000,0.000,0.002,0.002,0.002
,"358,047","297,531","370,893","3,348","2,872","2,134","358,047","441,976","519,056"
,"1,759,666","1,442,839 1,576,556 0","1,576,556",,"0 0 1,759,666",0,,,"1,580,636"
