,基建,,,電訊,,,總額,,
,20212,20222,2023,2021,2022,2023,2021,2022,2023
,,,,,,,,,
,"237,640","91,817","107,196",124,104,80,"240,774","94,879","110,188"
,"700,353","694,850","646,858",124,104,80,"703,487","697,912","649,850"
,"282,044","300,658","265,584",26,18,18,"282,070","300,676","265,602"
,"21,403","14,414","14,740",2,3,3,"21,408","14,420","14,745"
,"391,701","374,244","362,053",0,0,0,"391,701","374,244","362,053"
,0,0,0,0,0,0,0,0,0
,"4,744","5,090","4,034",96,83,59,"7,846","8,127","7,002"
,461,444,447,0,0,0,462,445,448
,"462,713","603,033","539,662",0,0,0,"462,713","603,033","539,662"
,"70,508","123,986","148,536",0,0,0,"70,508","123,986","148,536"
,0,0,0,0,0,0,0,0,0
,"391,701","478,223","390,204",0,0,0,"391,701","478,223","390,204"
,0,0,0,0,0,0,0,0,0
,297,560,518,0,0,0,297,560,518
,207,264,404,0,0,0,207,264,404
,4.589,1.852,2.145,0.001,0.001,0.001,0.763,0.314,0.354
,0,0,0,0,0,0,0,0,0
,"289,614","165,724","219,191",0,0,0,"289,614","165,724","219,191"
,"2,143","2,568","123,60610",0,0,0,"2,143","2,571","123,609"
,,,,,,,,,
,"2,570","2,245","2,193",692,556,483,"156,922","121,545","123,986"
,5,5,4,127,112,115,"41,821","34,541","32,342"
,"2,565","2,240","2,189",411,440,362,"102,415","73,888","79,084"
,0,0,0,0,0,0,"6,110","6,378","6,638"
,0,0,0,0,0,0,"3,389","3,339","2,832"
,0,0,0,154,4,6,"3,187","3,399","3,090"
,1.098 (b),0.945 (b) 0.863 (b) 0.004 (a),0.863 (b),,0.005 (a) 0.006 (a) 不適用,0.006 (a),,,不適用
