主題領域、方面、一般披露和關鍵績效指標,章節╱頁碼╱備註
,
A.環境,
層面A1：排放物,
"一般披露
有關廢氣及溫室氣體排放、向水及土地的排污、有害及無害廢棄物的產生等的：
(a) 政策；及
(b) 遵守對發行人有重大影響的相關法律及規例的資料。","企業管治，第10至12頁；與自然共居 — 承諾和策略方針，第22頁；
能源管理與碳減排，第28至31頁；廢物管理與資源保護，第34至36頁；
《環境政策》；《合規政策聲明》"
"關鍵績效指標A1.1
排放物種類及相關排放數據。","能源管理與碳減排，第28至31頁；空氣質素管理，第31至32頁；
數據表現，第66頁"
"關鍵績效指標A1.2
直接（範圍一）及能源間接（範圍二）溫室氣體排放量（以噸計算）及（如適用）密度（如以每產量單位、每項設施計算）。","能源管理與碳減排，第28至31頁；
數據表現，第66頁"
"關鍵績效指標A1.3
所產生有害廢棄物總量（以噸計算）及（如適用）密度（如以每產量單位、每項設施計算）。",數據表現，第67頁
"關鍵績效指標A1.4
所產生無害廢棄物總量（以噸計算）及（如適用）密度（如以每產量單位、每項設施計算）。",數據表現，第67頁
"關鍵績效指標A1.5
描述所訂立的排放量目標及為達到這些目標所採取的步驟。","與自然共居 — 承諾和策略方針，第22頁；能源管理與碳減排，第28至31頁；
空氣質素管理，第31至32頁"
"關鍵績效指標A1.6
描述處理有害及無害廢棄物的方法，及描述所訂立的減廢目標及為達到這些目標所採取的步驟。","與自然共居 — 承諾和策略方針，第22頁；廢物管理與資源保護，第34至36頁；
數據表現，第67頁"
層面A2：資源使用,
"一般披露
有效使用資源（包括能源、水及其他原材料）的政策。","企業管治，第10至12頁；與自然共居 — 承諾和策略方針，第22頁；能源管理與碳減排，第28至31頁；
水資源管理，第32至33頁；廢物管理與資源保護，第34至36頁；《環境政策》"
"關鍵績效指標A2.1
按類型劃分的直接及╱或間接能源（如電、氣或油）總耗量（以千個千瓦時計算）及密度（如以每產量單位、每項設施計算）。","能源管理與碳減排，第28至31頁；
數據表現，第66頁"
"關鍵績效指標A2.2
總耗水量及密度（如以每產量單位、每項設施計算）。","水資源管理，第32至33頁；
數據表現，第67頁"
"關鍵績效指標A2.3
描述所訂立的能源使用效益目標及為達到這些目標所採取的步驟。","與自然共居 — 承諾和策略方針，第22頁；
能源管理與碳減排，第28至31頁"
"關鍵績效指標A2.4
描述求取適用水源上可有任何問題，以及所訂立的用水效益目標及為達到這些目標所採取的步驟。","與自然共居 — 承諾和策略方針，第22頁；
水資源管理，第32至33頁"
"關鍵績效指標A2.5
製成品所用包裝材料的總量（以噸計算）及（如適用）每生產單位佔量。",數據表現，第67頁
層面A3：環境及天然資源,
"一般披露
減低發行人對環境及天然資源造成重大影響的政策。","企業管治，第10至12頁；
與自然共居 — 承諾和策略方針，第22頁；
能源管理與碳減排，第28至31頁；
水資源管理，第32至33頁；
廢物管理與資源保護，第34至36頁；
《環境政策》；
《氣候變化政策聲明》；
《綠色採購政策》"
