描述,報告章節╱備註
"氣候相關風險和機遇
(10) 主體應披露資訊，使通用目的財務報告使用者能夠了解可能合理預期會影響其前景的氣候相關風險和機遇。具體而言，該主體應：",
10(a) 描述可以合理預期會影響主體前景的氣候相關風險和機遇；,氣候風險和韌性管理 — 風險評估及管理，第25至28頁
10(b) 解釋主體已識別的每種氣候相關風險為與氣候相關的物理風險或與氣候相關的轉型風險；,
10(c) 具體說明主體已識別的每種氣候相關風險和機遇，在不同時間範圍內（短期、中期或長期）可以合理預期的影響；和,
10(d) 解釋該主體如何定義「短期」、「中期」和「長期」，以及這些定義如何與主體戰略決策的規劃範圍相關聯。,
"(11) 在確定第9(a)段所述的重大氣候相關風險和機遇時，主體應參考行業披露要求中定義的披露主題。
(12) 在編制滿足第12段至第15段要求的披露信息時，主體應參考並考慮（如第20段中所述的）跨行業指標類別的適用性和與披露主題相關的行業指標。",
"商業模式和價值鏈
(13) 主體應披露資訊，使通用財務報告的使用者能夠了解氣候相關風險和機遇對其商業模式和價值鏈的當前和預期影響。具體而言，該主體應披露：",
13(a) 描述氣候相關風險和機遇對主體商業模式和價值鏈的當前和預期影響；和,氣候風險和韌性管理 — 風險評估及管理，第25至28頁
13(b) 描述主體的商業模式和價值鏈中與氣候相關的風險和機遇集中的位置（例如，地理區域、設施和資產類型）。,
"策略和決策
(14) 主體應披露資訊，使通用目的財務報告使用者能夠了解氣候相關風險和機遇對其策略和決策的影響。具體而言，該主體應披露：",
14(a) 關於該主體在其策略和決策中如何應對和計劃應對氣候相關風險和機遇的資訊，包括該主體計劃如何實現其設定的任何氣候相關目標以及法律或法規要求其實現的任何目標。具體而言，該主體應披露以下資訊：,
"(i) 為應對氣候相關風險和機遇而對主體業務模式，（包括資源分配），當前和預期變化（例如，這些變化可包括管理或停用碳、能源或水密集型業務的計劃；需求或供應
鏈變化導致的資源分配；通過資本支出或額外研發支出進行業務發展產生的資源分配；以及收購或撤資）；有關其開展的直接適應和減緩措施的資訊。","可持續發展管治，第12至14頁；
氣候風險和韌性管理 — 風險評估及管理，第25至28頁；
能源管理與碳減排，第28至31頁
本集團正在進行過渡風險評估，並將更新商業策略、緩解措施和適應措施以
應對已識別的風險。更多的資訊將在未來的報告中披露。"
(ii) 當前和預期的直接緩解和適應措施（例如，通過改變生產流程或設備、搬遷設施、調整工作力和改變產品規格）；,
(iii) 當前和預期的間接減緩和適應措施（例如，通過與客戶和供應鏈合作）；,
(iv) 該主體擁有的任何與氣候相關的轉型計劃，包括有關制定轉型計劃時使用的關鍵假設的資訊，以及該主體的轉型計劃所依賴的依賴關係；和,
(v) 該主體計劃如何實現根據第33–36段所述的任何氣候相關目標，包括任何溫室氣體排放目標。,
14(b) 關於該主體如何為根據第14(a)段披露的活動提供資源以及計劃為這些活動提供資源的資訊。,"可持續發展管治，第12至14頁；
氣候風險和韌性管理 — 風險評估及管理，第25至28頁；
能源管理與碳減排，第28至31頁
本集團正在進行過渡風險評估，並將更新商業策略、緩解措施和適應措施以
應對已識別的風險。更多的資訊將在未來的報告中披露。"
14(c) 根據第14(a)段，關於前幾個報告期所披露的計劃進展情況的定量和定性資訊。,
