描述,報告章節╱備註
"管治
(5) 在管治方面，氣候相關財務信息披露的目標是，使通用目的財務報告使用者了解，主體監督和管理氣候相關風險和機遇時所用的管治流程、控制措施和程序。
(6) 為實現此目標，主體應披露以下資訊：",
6(a) 負責監督氣候相關風險和機遇的管治機構（可包括董事會、委員會或同等機構）或個人。具體而言，主體應確定該機構或個人的身份，並披露以下資訊：,
(i) 氣候相關風險和機遇的責任如何反映在適用於該機構或個人的職權範圍、任務、角色描述和其他相關政策中；,"可持續發展管治，第12至14頁；
氣候風險和韌性管理 — 管治，第25頁；
二〇二三年年報 — 企業管治報告，第52至72頁；
《氣候變化政策聲明》"
(ii) 該機構或個人如何確定是否具備或將發展適當的技能和能力，以監督旨在應對氣候相關風險和機遇的策略；,"董事會和高級管理層定期接受有關氣候和其他可持續發展議題的培訓和資訊
更新。"
(iii) 該機構或個人獲悉氣候相關風險和機遇的方式和頻率；,"可持續發展管治，第12至14頁；
氣候風險和韌性管理 — 管治，第25頁"
"(iv) 該機構或個人在監督主體的戰略、重大交易決策及其風險管理流程和相關政策時如何考慮與氣候相關的風險和機遇，包括機構或個人是否考慮了與這些風險和機遇相關的
權衡；和","可持續發展管治，第12至14頁；
氣候風險和韌性管理 — 管治，第25頁；
本集團正研究將氣候相關風險和其他可持續議題整合至項目和公司層面財務
評估和規劃中的可行性和實際性。"
(v) 該機構或個人如何監督與氣候相關風險和機遇相關的目標的設定，並監督目標的實現進度（見第33–36段），包括是否以及如何將相關績效指標納入薪酬政策（見第29(g)段）。,"可持續發展管治，第12至14頁；
氣候風險和韌性管理 — 管治，第25頁"
6(b) 管理層在監督和管理氣候相關風險和機遇時所用的治理流程、控制措施和程序的角色，包括以下資訊：,
(i) 該角色是否被委託給特定的管理級別職位或管理級別委員會，以及如何監督該管理職位或管理委員會；和,"可持續發展管治，第12至14頁；
氣候風險和韌性管理 — 管治，第25頁"
(ii) 管理層是否使用控制措施和程序對氣候相關風險和機遇進行監督，如是，這些措施和程序如何與其他內部職能進行整合。,
(7) 在編製滿足第6段要求的披露信息時，主題應根據IFRS S1可持續發展相關財務資訊披露的一般要求，避免不必要的重複。,
"策略
(8) 在策略方面，氣候相關財務信息披露的目標是，使通用目的財務報告使用者了解主體管理氣候相關重大風險和機遇時所制定的策略。
(9) 具體而言，主體應披露以下資訊，使通用財務報告的使用者能夠理解：",
9(a) 可以合理預期會影響主體前景的氣候相關風險和機遇（見第10–12段）；,"可持續發展管治，第12至14頁；
氣候風險和韌性管理 — 風險評估及管理，第25至28頁
本集團正研究將氣候相關風險和其他可持續議題整合至項目和公司層面財務
評估和規劃中的可行性和實際性。"
9(b) 氣候相關風險和機遇對主體商業模式和價值鏈的當前和預期影響（見第13段）；,
9(c) 氣候相關風險和機遇對主體策略和決策的影響，包括有關其氣候相關轉型計劃的資訊（見第14段）；,
"9(d) 氣候相關風險和機遇對主體在報告期內的財務狀況、財務業績和現金流量的影響，以及它們對主體短期、中期和長期財務狀況、財務業績和現金流量的預期影響，同時考
慮如何將氣候相關的風險和機遇納入主體的財務規劃中（見第15–21段）；和",
9(e) 主體的戰略及其商業模式對氣候相關變化、發展和不確定性的氣候適應能力，同時考慮主體已確定的與氣候相關的風險和機遇（見第22段）。,"可持續發展管治，第12至14頁；
氣候風險和韌性管理 — 風險評估及管理，第25至28頁
本集團正在進行過渡風險評估，並將更新商業策略、緩解措施和適應措施以
應對已識別的風險。更多的資訊將在未來的報告中披露。"
