主題領域、方面、一般披露和關鍵績效指標,章節╱頁碼╱備註
,
"關鍵績效指標B4.2
描述在發現違規情況時消除有關情況所採取的步驟。",《人權政策》
層面B5：供應鏈管理,
"一般披露
管理供應鏈的環境及社會風險政策。","與供應商合作，第47頁；《綠色採購政策》；
《供應商行為準則》"
"關鍵績效指標B5.1
按地區劃分的供應商數目。",與供應商合作，第47頁；
"關鍵績效指標B5.2
描述有關聘用供應商的慣例，向其執行有關慣例的供應商數目，以及相關執行及監察方法。","與供應商合作，第47頁；《綠色採購政策》；
《供應商行為準則》"
"關鍵績效指標B5.3
描述有關識別供應鏈每個環節的環境及社會風險的慣例，以及相關執行及監察方法。","與供應商合作，第47頁；
《綠色採購政策》"
"關鍵績效指標B5.4
描述在揀選供應商時促使多用環保產品及服務的慣例，以及相關執行及監察方法。","與供應商合作，第47頁；
《綠色採購政策》"
層面B6：產品責任,
"一般披露
有關所提供產品和服務的健康與安全、廣告、標籤及私隱事宜以及補救方法的：
(a) 政策；及
(b) 遵守對發行人有重大影響的相關法律及規例的資料。","為顧客提供優質的產品，第48至50頁；
《質量政策聲明》；
《資料私隱政策聲明》；
《合規政策聲明》"
"關鍵績效指標B6.1
已售或已運送產品總數中因安全與健康理由而須回收的百分比。",在報告年內，沒有已售或已運送產品因安全和健康原因而被召回。
"關鍵績效指標B6.2
接獲關於產品及服務的投訴數目以及應對方法。",為顧客提供優質的產品，第48頁；
"關鍵績效指標B6.3
描述與維護及保障知識產權有關的慣例。",為顧客提供優質的產品，第48頁；
"關鍵績效指標B6.4
描述質量檢定過程及產品回收程序。","為顧客提供優質的產品，第48頁；
《質量政策聲明》"
"關鍵績效指標B6.5
描述消費者資料保障及私隱政策，以及相關執行及監察方法。","為顧客提供優質的產品，第50頁；《紀律守則》；
《資料私隱政策聲明》"
層面B7：反貪污,
"一般披露
有關防止賄賂、勒索、欺詐及洗黑錢的：
(a) 政策；及
(b) 遵守對發行人有重大影響的相關法律及規例的資料。","商業道德，第11頁；《反貪腐政策》；
《合規政策聲明》；《商業誠信聲明》；
《紀律守則》"
"關鍵績效指標B7.1
於匯報期內對發行人或其僱員提出並已審結的貪污訴訟案件的數目及訴訟結果。",商業道德，第11頁
"關鍵績效指標B7.2
描述防範措施及舉報程序，以及相關執行及監察方法。",商業道德，第11頁
"關鍵績效指標B7.3
描述向董事及員工提供的反貪污培訓。",商業道德，第11頁
層面B8：社區投資,
"一般披露
有關以社區參與來了解營運所在社區需要和確保其業務活動會考慮社區利益的政策。",「社、企共勉」，第60至65頁
"關鍵績效指標B8.1
專注貢獻範疇（如教育、環境事宜、勞工需求、健康、文化、體育）。","關於九龍倉置業，第7頁；
「社、企共勉」，第60至65頁"
"關鍵績效指標B8.2
在專注範疇所動用資源（如金錢或時間）。","關於九龍倉置業，第7頁；
「社、企共勉」，第60至65頁"
