描述,報告章節╱備註
(34) 主體應該披露其制定和審查每個目標的方法，以及如何監測每個目標的進展情況，包括：,
34(a) 目標和設定目標的方法是否經過第三方驗證；,"與自然共居 — 承諾和策略方針，第22頁；
數據表現，第66至67頁
本集團正在研究和考慮以科學為基礎的方法來更新當前目標。更多的資訊及
更新將在未來的報告中根據更新情況披露。"
34(b) 主體審查目標的過程；,
34(c) 用於監測實現目標進展情況的指標；和,
34(d) 對目標的任何修訂以及對這些修訂的解釋。,
(35) 主體應披露有關其針對每個氣候相關目標的績效的資訊，以及對該主體績效趨勢或變化的分析。,
(36) 對於根據第33–35款披露的每一溫室氣體排放目標，主體應披露：,
36(a) 目標涵蓋哪些溫室氣體。,"與自然共居 — 承諾和策略方針，第22頁；
能源管理與碳減排，第28至31頁"
36(b) 目標是否涵蓋範圍1、範圍2或範圍3的溫室氣體排放。,"與自然共居 — 承諾和策略方針，第22頁；
能源管理與碳減排，第28至31頁"
36(c) 目標是溫室氣體總排放目標或溫室氣體淨排放目標。如果該主體披露了溫室氣體淨排放目標，則該主體還需要單獨披露其相關的溫室氣體總排放目標（見第B68–B69段）。,"與自然共居 — 承諾和策略方針，第22頁；
數據表現，第66至67頁"
36(d) 該目標是否採用行業脫碳方法得出。,
36(e) 主體計劃使用碳信用額來抵銷溫室氣體排放，以實現任何溫室氣體淨排放目標。在解釋其計劃使用碳信用額時，該主體應披露資訊，包括並參考第B70–B71段：,"本集團正在進行過渡風險評估的工作，並將進一步研究碳信用額的適用性。
更多資訊將在未來的報告中公開。"
(i) 實現溫室氣體淨排放目標在多大程度上以及如何依賴於碳信用的使用；,
(ii) 哪些第三方計劃將核實或認證碳信用額；,
(iii) 碳信用額的類型，包括基礎抵銷是基於自然的還是基於技術碳去除的，以及基礎抵銷是通過碳減排或去除來實現的；和,
(iv) 一般目的的財務報告使用者了解主體計劃使用的碳信用額的可信度和完整性所需的因素（例如，關於碳抵銷永久性的假設）。,
