描述,報告章節╱備註
"財務狀況、財務業績和現金流量
(15) 主體應披露資訊，使通用目的財務報告使用者能夠理解：",
15(a) 氣候相關風險和機遇對報告期內主體財務狀況、財務業績和現金流量的影響（當前財務影響）；和,"本集團正在進行與氣候相關的風險財務影響評估的工作。更多的資訊將在未
來的報告中披露。"
15(b) 氣候相關風險和機遇在短期、中期和長期內對主體財務狀況、財務業績和現金流的預期影響，同時考慮到如何將氣候相關風險和機遇納入主體的財務規劃（預期財務影響）。,
(16) 具體而言，主體應披露以下的定量和定性資訊：,
16(a) 氣候相關風險和機遇如何影響其報告期內的財務狀況、財務業績和現金流量,"本集團正在進行與氣候相關的風險財務影響評估的工作。更多的資訊將在未
來的報告中披露。"
16(b) 就第16(a)段中確定的氣候相關風險和機遇，導致在下一報告年度，財務報表中報告的資產和負債帳面金額將發生重大調整的氣候相關風險和機遇；,
16(c) 基於該主體管理氣候相關風險和機遇的戰略，預計其財務狀況在短期、中期和長期內將如何變化，同時考慮：,
(i) 其投資和出售計劃（例如，資本支出、重大收購和撤資、合資企業、業務轉型、創新、新業務領域和資產報廢計劃），包括主體未在合同中承諾的計劃；和,
(ii) 為實施其戰略而計劃的資金來源；和,
"16(d) 鑒於其管理氣候相關風險和機遇的戰略（例如，與低碳經濟相一致的產品和服務收入增加；氣候事件對資產造成物理損害產生的成本；以及與氣候適應或減緩相關的費用），
該主體預計其財務業績和現金流在短期、中期和長期內將如何變化。",
"氣候韌性
(22) 主體應披露信息，使通用目的財務報告使用者了解，主體的策略（包括其商業模式）對氣候相關變化、發展或不確定性的適應性了解，同時考慮該主體已確定的氣候相關風險和機遇。該主體應使用與氣候相關的情景分析，使用與其情況相稱的方法評估其氣候韌性（見
第B1–B18段）。在提供定量資訊時，主體可以披露單個數量或範圍。具體而言，該主體應披露：",
22(a) 主體在報告日對其氣候韌性的評估，應使通用財務報告的使用者能夠了解：,
(i) 該主體對其策略和商業模式的評估所產生的影響（如有），包括該主體需要如何應對氣候相關情景分析中確定的影響；,"氣候風險和韌性管理 — 風險評估及管理，第25至28頁；
能源管理與碳減排，第28至31頁
本集團正在進行過渡風險評估，並將更新商業策略、緩解措施和適應措施以
應對已識別的風險。更多的資訊將在未來的報告中披露。"
(ii) 該主體在評估其氣候韌性時考慮的重大不確定性領域；,
(iii) 該主體在短期、中期和長期內調整或調整其策略和商業模式以適應氣候變化的能力，包括；,
(1) 主體現有財政資源的可用性和靈活性，以應對氣候相關情景分析中確定的影響，包括應對與氣候相關的風險和╱或用於利用氣候相關機遇；,
(2) 該主體重新配置現有資產、重新調整現有資產用途、升級或停用現有資產的能力；和,
(3) 該主體當前或計劃的對氣候相關減緩、適應或對與氣候韌性相關機遇的投資的影響；和,
22(b) 如何以及何時進行與氣候有關的情景分析，包括：,
22(b) (i) 有關主體投入的資訊，包括：,
(1) 分析是否包括各種與氣候有關的情景；,"氣候風險和韌性管理 — 風險評估及管理，第25至28頁
過渡風險評估完成後，更多的資訊將在未來的報告中披露。"
(2) 用於分析的氣候相關情景是否與氣候相關的轉型風險或與氣候相關的物理風險相關；,
(3) 該主體在其情景中是否使用了與最新的氣候變化國際協議一致的氣候相關情景；,
(4) 解釋主體為何決定已選擇的情景與評估主體氣候相關風險和機遇的彈性相關；,
(5) 分析中使用的主體的時間範圍；和,
(6) 主體在分析中使用的運營範圍（例如，分析中使用的運營地點和營業單位）；,
22(b) (ii) 主體在分析中作出的關鍵假設，包括以下假設：,
(1) 主體運營所在司法管轄區的氣候相關政策；,"氣候風險和韌性管理 — 風險評估及管理，第25至28頁
過渡風險評估完成後，更多的資訊將在未來的報告中披露。"
(2) 宏觀經濟趨勢；,
(3) 國家或區域層面的變數（例如，當地天氣模式、人口統計、土地利用、基礎設施和自然資源的可用性）；,
(4) 能源使用和混合；和,
(5) 技術發展；和,
