描述,報告章節╱備註
2(b)(iii) 進行氣候相關情景分析的報告期（見第B18段）。,關於本報告 — 報告範圍
"風險管理
(24) 在風險管理方面，氣候相關財務信息披露的目標是使通用目的財務報告使用者能夠了解主體識別、評估、優先排序和監測氣候相關風險和機遇的流程，包括這些流程是否以及如何納入主體的整體風險管理流程並為其提供資訊。",
(25) 為實現這一目標，主體應披露以下資訊：,
25(a) 主體用於識別、評估、優先排序和監測氣候相關風險的流程和相關政策，包括以下資訊：,"氣候風險和韌性管理 — 風險評估及管理，第25至28頁
過渡風險評估完成後，更多的資訊將在未來的報告中披露。"
(i) 主體使用的輸入和參數（例如，有關數據來源和流程中涵蓋的操作範圍的資訊）；,
(ii) 該主體是否以及如何使用氣候相關情景分析來識別氣候相關風險；,
(iii) 主體如何評估這些風險影響的性質、可能性和程度（例如，主體是否考慮定性因素、定量閾值或其他標準）；,
(iv) 相對於其他類型的風險，該主體是否以及如何優先考慮氣候相關風險；,
(v) 該主體如何監測氣候相關風險；和,
(vi) 與上一個報告期相比，該主體是否以及如何改變其使用的流程；,
25(b) 該主體用於識別、評估、優先排序和監測氣候相關機會的流程，包括有關該主體是否以及如何使用氣候相關情景分析來為其識別氣候相關機會提供信息的資訊；和,"氣候風險和韌性管理 — 風險評估及管理，第25至28頁
過渡風險評估完成後，更多的資訊將在未來的報告中披露。"
25(c) 識別、評估、優先排序和監測氣候相關風險和機遇的流程在多大程度上以及如何融入主體的整體風險管理流程併為其提供資訊。,
"指標和目標
(27) 氣候相關指標和目標財務披露的目的是使通用目的財務報告使用者能夠了解主體在氣候相關風險和機遇方面的表現，包括實現其設定的任何氣候相關目標的進展情況，以及法律或法規要求其實現的任何目標。",
(28) 為實現這一目標，主體應披露：,
28(a) 與跨行業指標類別相關的資訊（見第29–31段）,數據表現，第66至67頁
28(b) 與特定商業模式、活動或參與某一行業的其他共同特徵相關的基於行業的指標（見第32段）；和,
"28(c) 主體設定的目標，以及法律或法規要求的任何目標，以減輕或適應氣候相關風險或利用氣候相關機會，包括治理機構或管理層用來衡量實現這些目標的進展情況的指標（見
第33–37段）。",與自然共居 — 承諾和策略方針，第22頁
"氣候相關指標
(29) 主體應披露與跨行業指標類別相關的資訊",
(29) (a) 溫室氣體 — 該主體應：,
(i) 披露了報告期內產生的溫室氣體絕對總排放量，以公噸二氧化碳當量表示（見第B19–B22段），分類為：,數據表現，第66至67頁
(1) 範圍1溫室氣體排放；,
(2) 範圍2溫室氣體排放；,
(3) 範圍3溫室氣體排放；,
"(ii) 根據《溫室氣體議定書：公司會計和報告標準》（2004年）衡量其溫室氣體排放量，除非司法當局或主體上市的交易所要求使用不同的方法來衡量其溫室氣體排放量（見
第B23–B25段）；",
(iii) 披露了其用於計算其溫室氣體排放量的方法（見第B26–B29段），包括：,數據表現，第66至67頁
(1) 主體用於計算其溫室氣體排放的測量方法、投入和假設；,
(2) 該主體選擇用於測量其溫室氣體排放量的測量方法、投入和假設的原因；和,
(3) 該主體在報告期間對計算方法、投入和假設所作的任何更改以及這些更改的原因；,
