層面,內容,在報告中位置,外部鑒證
,董事會聲明,P01,
,重要性,P08,
,量化,關於本報告,
,平衡,關於本報告,
,一致性,關於本報告,
,匯報範圍,關於本報告,
,"一般披露
有關廢氣及溫室氣體排放、向水及土地的排污、有害及無害廢棄物的產生等的：
(a) 政策﹔及
(b) 遵守對發行人有重大影響的相關法律及規例的資料。",P58-P62,
,A1.1 排放物種類及相關排放數據。,P62,
,"A1.2 直接（範圍1）及間接能源（範圍2）溫室氣體排放量及(以噸計算)及(如適用)
密度(如以每產量單位、每項設施計算)",P59,
,"A1.3 所產生有害廢棄物總量（以噸計算）及（如適用）密度（如以每產量單位、每項設
施計算）。",P62,
,"A1.4 所產生無害廢棄物總量（以噸計算）及（如適用）密度（如以每產量單位、每項設
施計算）。",P62,
,A1.5 描述所訂立的排放量目標及為達到這些目標所採取的步驟。,P60-P62,
,"A1.6 描述處理有害及無害廢棄物的方法，及描述所訂立的減廢目標及為達到這些目標所
採取的步驟。",P60-P62,
,"一般披露
有效使用資源（包括能源、水及其他原材料）的政策。",P55、P57,
,"A2.1 按類型劃分的直接及或間接能源（如電、氣或油）總耗量（以千個千瓦時計算）及
密度（如以每產量單位、每項設施計算）。",P56,
,A2.2 總耗水量及密度（如以每產量單位、每項設施計算）。,P58,
,A2.3 描述所訂立的能源使用效益計劃目標及為達到這些目標所採取的步驟。,P55-P56,
,"A2.4 描述求取適用水源上可有任何問題，以及所訂立的用水效益目標及為達到這些目標
所採取的步驟。",P57,
,A2.5 製成品所用包裝材料的總量（以噸計算）及（如適用）每生產單位佔量。,"基於公司的業務性質，
不涉及包裝物的使用",
,"一般披露
減低發行人對環境及天然資源造成重大影響的政策。",P51-P64,
,A3.1 描述業務活動對環境及天然資源的重大影響及已採取管理有關影響的行動。,P51-P54、P63-P64,
,"一般披露
識別及應對已經及可能會對發行人產生影響的重大氣候相關事宜的政策。",P53-P54,
,A 4.1 描述已經及可能會對發行人產生影響的重大氣候相關事宜，及應對行動。,P53-P54,
,"一般披露
有關薪酬及解僱、招聘及晉升、工作時數、假期、平等機會、多元化、反歧視以及其他
待遇及福利的：
(a) 政策﹔及
(b) 遵守對發行人有重大影響的相關法律及規例的資料。",P67-P71、P75-P76,
,B1.1 按性別、僱傭類型（如全職或兼職）、年齡組別及地區劃分的僱員總數。,P69,
,B1.2 按性別、年齡組別及地區劃分的僱員流失比率。,P70,
