,2023,2022,2021,2020,2019
按僱員類別劃分（平均培訓時數和接受培訓的僱員百分比）,,,,,
,14.2 (91.8),12.1 (92.1),11.2 (79.6),7.4 (73.5),9.8 (85.0)
,13.3 (86.4),9.9 (95.7),12.5 (81.6),8.3 (70.4),13.7 (96.8)
,33.6 (87.1),34.2 (95.7),29.7 (71.8),25.3 (54.6),30.5 (90.7)
多元化（男女比例）,,,,,
,2.6:1,2.9:1,2.9:1,3.1:1,3.3:1
,2.7:1,2.9:1,2.9:1,3.0:1,3.1:1
,4.7:1,4.9:1,4.3:1,4.2:1,4.3:1
,2.3:1,2.5:1,–,–,–
男女薪酬比例（男女比例）,,,,,
,1.0:1*,1.0:1,–,–,–
按僱員類別劃分－基本工資,,,,,
,1.1:1,1.1:1,–,–,–
,1.1:1,1.2:1,–,–,–
,1.0:1,1.0:1,–,–,–
按僱員類別劃分－薪酬,,,,,
,1.1:1,1.1:1,–,–,–
,1.1:1,1.2:1,–,–,–
,1.1:1,1.1:1,–,–,–
育嬰假,,,,,
享有育嬰假的僱員總數,,,,,
,21,20,–,–,–
,4,8,–,–,–
實際使用育嬰假的僱員總數,,,,,
,21,20,–,–,–
,4,8,–,–,–
休完育嬰假後，在報告期間復職的僱員總數,,,,,
,21,19,–,–,–
,3,7,–,–,–
復職率,,,,,
,100,95,–,–,–
,75,88,–,–,–
