,2023,2022,2021,2020,2019
自願離職僱員（人數和流失率）1),,,,,
,868 (4.1),"1,308 (6.0)",(2.6),(2.0),(2.8)
按性別劃分,,,,,
,627 (4.2),"1,036 (6.8)",(2.8),(2.1),(2.9)
,241 (3.8),272 (4.2),(2.1),(1.7),(2.6)
按年齡組別劃分,,,,,
,604 (6.6),943 (10.0),(4.3),(3.2),(4.4)
,251 (2.2),"1,036 (6.8)",(1.4),(1.1),(1.8)
,13 (1.3),272 (4.2),(0.5),(0.8),(1.3)
新入職僱員（人數和百分比）2),,,,,
,"1,684 (7.9)","2,086 (9.6)","2,193","1,493","2,736"
按性別劃分,,,,,
,"1,184 (8.0)","1,492 (9.8)","1,535","1,123","1,864"
,500 (7.8),594 (9.1),658,370,872
按年齡組別劃分,,,,,
,"1,232 (13.5)","1,575 (16.6)","1,690","1,127","1,967"
,418 (3.7),498 (4.4),492,354,742
,34 (3.5),13 (1.3),11,12,27
接受表現評估及事業發展檢討的僱員所佔百分比,,,,,
,95.5,96.0,–,–,–
按性別劃分,,,,,
,95.8,95.9,–,–,–
,94.8,96.3,–,–,–
按僱員類別劃分,,,,,
,95.9,97.0,–,–,–
,96.9,93.3,–,–,–
,95.2,96.4,–,–,–
培訓時數,,,,,
,"2,074,140","1,350,836","1,392,042",–,–
,100,62,51.5,–,–
按性別劃分（平均培訓時數和接受培訓的僱員百分比）,,,,,
,102.7 (92.8),61.8 (97.6),51.2 (96.6),–,–
,94.5 (90.7),62.2 (96.6),52.1 (95.8),–,–
按僱員類別劃分（平均培訓時數和接受培訓的僱員百分比）,,,,,
,60.1 (93.0),39.8 (97.4),45.7 (93.2),–,–
,72.0 (87.2),47.0 (93.9),46.7 (91.2),–,–
,106.9 (93.0),65.4 (97.9),52.4 (97.2),–,–
