關鍵績效指標,披露,章節／解釋,Section/ Explanation
,KPI B4.1,描述檢討招聘慣例的措施以避免童工及強制勞工。,"我們在《承包商紀律守則》中明文
規定，禁止供應商或承包商使用童
工和／或強迫勞動。"
,KPI B4.2,描述在發現違規情況時消除有關情況所採取的步驟。,
"B5：供應鏈管
理",一般披露,管理供應鏈的環境及社會風險政策。,"可持續交易 – 建築供應商管理
可持續交易 – 營運供應商管理"
,KPI B5.1,按地區劃分的供應商數目。,"可持續交易 – 建築供應商管理
可持續交易 – 營運供應商管理"
,KPI B5.2,"描述有關聘用供應商的慣例，向其執行有關慣例的供
應商數目，以及相關執行及監察方法。","可持續交易 – 建築供應商管理
可持續交易 – 營運供應商管理"
,KPI B5.3,"描述有關識別供應鏈每個環節的環境及社會風險的慣
例，以及相關執行及監察方法。","可持續交易 – 建築供應商管理
可持續交易 – 營運供應商管理"
,KPI B5.4,"描述在揀選供應商時促使多用環保產品及服務的慣
例，以及相關執行及監察方法。","可持續交易 – 建築供應商管理
可持續交易 – 營運供應商管理"
B6：產品責任,一般披露,"有關所提供產品和服務的健康與安全、廣告、 標籤及
私隱事宜以及補救方法的：
(a) 政策；及
(b) 遵守對發行人有重大影響的相關法律及規例
的資料。","可持續交易
我們確保我們的營銷和宣傳材料符
合相關法律和法規，並避免就集團
的業務能力作出任何誇大或不實
陳述。
報告期內，集團沒有在旗下產品及
服務的健康與安全、廣告、標記及
私隱事宜的相關法例及法規方面，
出現任何具重大影響的經證實違規
個案。"
,KPI B6.1,"已售或已運送產品總數中因安全與健康理由而須回收
的百分比。","此關鍵績效指標不適用於我們的
業務。"
,KPI B6.2,接獲關於產品及服務的投訴數目以及應對方法。,"可持續交易 – 量度顧客滿意度
報告期內，我們沒有接獲任何與提
供和使用產品及服務相關的重大
投訴。"
,KPI B6.3,描述與維護及保障知識產權有關的慣例。,"我們已制訂保障知識產權及遵守有
關法例的相關政策。我們的《僱員
手冊》提供了尊重知識產權的相關
指引。員工如在受僱期間使用版權
作品的侵權複製品，可能會遭到紀
律處分或即時解僱。"
,KPI B6.4,描述質量檢定過程及產品回收程序。,"可持續交易 – 保持質量標準
產品回收程序對集團業務並無重大
影響。"
